Id,Name,English_Name,Type,Source,Episodes,Airing,Aired_From,Aired_To,Duration,Rating,Score,Scored_By,Rank,Popularity,Members,Favorites,Season,Year,Broadcast_Day,Broadcast_Time,Producers,Licensors,Studios,Genres,Themes
52991,Sousou no Frieren,Frieren: Beyond Journey's End,TV,Manga,28,False,2023-09-29 00:00:00+00:00,2024-03-22 00:00:00+00:00,24,PG-13 - Teens 13 or older,9.33,521212,1.0,194,918309,54321,fall,2023,Fridays,23:00,"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan",Crunchyroll,Madhouse,"Adventure, Drama, Fantasy",
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,TV,Manga,64,False,2009-04-05 00:00:00+00:00,2010-07-04 00:00:00+00:00,24,R - 17+ (violence & profanity),9.09,2163268,2.0,3,3426057,228856,spring,2009,Sundays,17:00,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,"Action, Adventure, Drama, Fantasy",Military
56784,Bleach: Sennen Kessen-hen - Soukoku-tan,Bleach: Thousand-Year Blood War - The Conflict,TV,Manga,2,True,2024-10-05 00:00:00+00:00,,24,R - 17+ (violence & profanity),9.07,16834,3.0,1786,130694,1444,fall,2024,Saturdays,23:00,"Pierrot, TV Tokyo, Dentsu, Shueisha, Zack Promotion",,Pierrot Films,"Action, Adventure, Supernatural",
9253,Steins;Gate,Steins;Gate,TV,Visual novel,24,False,2011-04-06 00:00:00+00:00,2011-09-14 00:00:00+00:00,24,PG-13 - Teens 13 or older,9.07,1427771,4.0,14,2624591,191705,spring,2011,Wednesdays,02:05,"Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,"Drama, Sci-Fi, Suspense","Psychological, Time Travel"
38524,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,TV,Manga,10,False,2019-04-29 00:00:00+00:00,2019-07-01 00:00:00+00:00,23,R - 17+ (violence & profanity),9.05,1635031,5.0,21,2354147,59648,spring,2019,Mondays,00:10,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,Wit Studio,"Action, Drama, Suspense","Gore, Military, Survival"
28977,Gintama°,Gintama Season 4,TV,Manga,51,False,2015-04-08 00:00:00+00:00,2016-03-30 00:00:00+00:00,24,PG-13 - Teens 13 or older,9.05,256763,6.0,341,646673,16839,spring,2015,Wednesdays,18:00,"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai"
39486,Gintama: The Final,Gintama: The Very Final,Movie,Manga,1,False,2021-01-08 00:00:00+00:00,,104,PG-13 - Teens 13 or older,9.04,75673,7.0,1543,158158,4365,winter,2021,,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Eleven Arts,Bandai Namco Pictures,"Action, Comedy, Drama, Sci-Fi","Gag Humor, Historical, Parody, Samurai"
9969,Gintama',Gintama Season 2,TV,Manga,51,False,2011-04-04 00:00:00+00:00,2012-03-26 00:00:00+00:00,24,PG-13 - Teens 13 or older,9.03,242360,8.0,398,570538,8220,spring,2011,Mondays,18:00,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Shueisha",,Sunrise,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai"
11061,Hunter x Hunter (2011),Hunter x Hunter,TV,Manga,148,False,2011-10-02 00:00:00+00:00,2014-09-24 00:00:00+00:00,23,PG-13 - Teens 13 or older,9.03,1813210,9.0,8,2920586,214620,fall,2011,Sundays,10:55,"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,"Action, Adventure, Fantasy",
15417,Gintama': Enchousen,Gintama: Enchousen,TV,Manga,13,False,2012-10-04 00:00:00+00:00,2013-03-28 00:00:00+00:00,24,PG-13 - Teens 13 or older,9.02,168798,10.0,751,332933,3061,fall,2012,Thursdays,18:00,"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",,Sunrise,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai"
